               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.01111,           0.0049917,           0.0059996,             0.54356,              0.2022,             0.19082,            0.069465,            0.012309,           0.0042166,           0.0057985,            0.009028,            0.009028,            0.009028
                  36,            0.010923,           0.0048736,           0.0061264,             0.52072,             0.22059,             0.22718,             0.10366,            0.011822,           0.0042534,           0.0059428,           0.0089726,           0.0089726,           0.0089726
                  37,            0.010702,           0.0048494,           0.0057725,             0.36636,             0.27837,             0.24355,             0.10158,            0.011432,            0.004261,           0.0055945,           0.0089159,           0.0089159,           0.0089159
                  38,            0.010814,           0.0050043,           0.0057457,             0.57803,             0.23503,             0.24392,             0.10283,            0.011261,           0.0042491,           0.0054132,           0.0088579,           0.0088579,           0.0088579
                  39,            0.010993,            0.005011,           0.0058867,             0.39962,             0.29311,             0.25186,            0.092138,            0.011242,           0.0042214,           0.0053166,           0.0087987,           0.0087987,           0.0087987
                  40,            0.010893,           0.0049644,           0.0055697,             0.54044,             0.26712,              0.2715,             0.11857,            0.011258,           0.0041849,           0.0052088,           0.0087382,           0.0087382,           0.0087382
                  41,            0.010713,           0.0047893,           0.0053809,             0.40069,             0.29856,             0.28594,             0.12554,              0.0108,            0.004202,           0.0051135,           0.0086765,           0.0086765,           0.0086765
                  42,            0.010502,           0.0049156,           0.0052696,             0.54465,              0.2999,             0.28016,             0.12308,            0.010973,           0.0041734,           0.0053279,           0.0086137,           0.0086137,           0.0086137
                  43,            0.010281,           0.0047504,              0.0052,             0.50866,             0.30447,             0.29026,             0.11187,            0.011178,           0.0041589,           0.0049944,           0.0085497,           0.0085497,           0.0085497
                  44,            0.010291,           0.0048158,           0.0050343,             0.54834,             0.31187,             0.30662,             0.13422,            0.010626,           0.0041879,           0.0050344,           0.0084846,           0.0084846,           0.0084846
                  45,            0.010161,           0.0045372,           0.0050148,             0.58765,             0.30589,             0.34359,             0.14703,            0.010693,           0.0041019,           0.0048375,           0.0084184,           0.0084184,           0.0084184
                  46,            0.010209,           0.0045671,           0.0047979,             0.55509,             0.32088,             0.33901,             0.15457,            0.010498,           0.0041228,           0.0047685,           0.0083511,           0.0083511,           0.0083511
                  47,             0.01014,           0.0046335,           0.0047137,             0.58759,             0.33129,             0.34664,             0.15298,            0.010553,            0.004103,           0.0047315,           0.0082829,           0.0082829,           0.0082829
                  48,           0.0099287,           0.0047447,           0.0047121,             0.49065,             0.31857,             0.32836,             0.15071,            0.010709,           0.0040613,           0.0047564,           0.0082136,           0.0082136,           0.0082136
                  49,            0.010243,           0.0045702,           0.0049848,             0.55755,             0.28218,             0.33794,             0.16903,             0.01072,           0.0040616,            0.004828,           0.0081433,           0.0081433,           0.0081433
                  50,           0.0095842,           0.0044753,           0.0046316,             0.46626,             0.33525,              0.3338,             0.15271,             0.01046,           0.0040329,           0.0046903,           0.0080721,           0.0080721,           0.0080721
                  51,           0.0098531,           0.0046665,           0.0044568,             0.57641,             0.31633,             0.35359,             0.14113,            0.010657,           0.0039959,           0.0046632,               0.008,               0.008,               0.008
                  52,           0.0097379,           0.0047179,           0.0049659,             0.71338,             0.28819,             0.35561,             0.14447,            0.010403,           0.0040341,           0.0046902,            0.007927,            0.007927,            0.007927
                  53,           0.0094902,           0.0044481,           0.0047159,             0.61048,             0.27723,             0.32549,             0.14422,            0.010309,           0.0040982,            0.004737,           0.0078532,           0.0078532,           0.0078532
                  54,           0.0095374,           0.0045494,           0.0044403,             0.56089,             0.32402,              0.3632,             0.16179,             0.01011,           0.0040053,           0.0045123,           0.0077785,           0.0077785,           0.0077785
                  55,           0.0094211,           0.0045161,           0.0043388,             0.59062,             0.32336,             0.37205,             0.16947,            0.010185,           0.0039688,           0.0044283,           0.0077031,           0.0077031,           0.0077031
                  56,           0.0095645,            0.004451,           0.0043071,              0.4684,             0.39515,             0.36592,              0.1664,            0.010659,           0.0039219,           0.0046423,           0.0076269,           0.0076269,           0.0076269
                  57,            0.009423,            0.004414,           0.0042049,             0.48096,             0.40182,             0.37391,             0.17455,            0.010458,           0.0039459,           0.0045978,           0.0075501,           0.0075501,           0.0075501
                  58,           0.0094233,           0.0045383,            0.004577,             0.59833,             0.30163,             0.39133,             0.17024,           0.0098723,           0.0040162,            0.004291,           0.0074725,           0.0074725,           0.0074725
                  59,           0.0091107,           0.0046829,           0.0043118,             0.56288,             0.30797,             0.38638,             0.17673,             0.01018,           0.0040043,            0.004186,           0.0073943,           0.0073943,           0.0073943
                  60,           0.0093699,            0.004399,           0.0040114,             0.26359,              0.5201,             0.39664,             0.18267,            0.010118,           0.0040492,           0.0041548,           0.0073155,           0.0073155,           0.0073155
                  61,            0.009058,           0.0045414,           0.0042356,             0.46782,             0.36038,             0.37999,             0.18999,            0.010003,           0.0039979,           0.0041728,           0.0072361,           0.0072361,           0.0072361
                  62,           0.0091705,           0.0045421,           0.0040082,             0.65483,             0.30027,             0.40335,             0.19977,           0.0098452,           0.0039591,           0.0040953,           0.0071561,           0.0071561,           0.0071561
                  63,            0.009067,           0.0046592,           0.0038986,             0.61479,             0.33603,             0.41353,             0.20403,            0.009637,           0.0039365,           0.0039445,           0.0070757,           0.0070757,           0.0070757
                  64,           0.0092721,           0.0043398,           0.0039225,             0.74988,             0.30933,             0.42457,             0.21379,           0.0096533,            0.003926,           0.0039493,           0.0069948,           0.0069948,           0.0069948
